Year,Geography,Immig.,Dur. of unempl,Age group,Both sexes, Males, Females
2006,Canada,Total,Total unemployed,15 years and over,1106.2,606.1,500.1
2006,Canada,Total,Total unemployed,15-24 years ,335.7,189.1,146.6
2006,Canada,Total,Total unemployed,25 years and over,770.5,417.0,353.5
2006,Canada,Total,Total unemployed,25-44 years,448.4,239.8,208.6
2006,Canada,Total,Total unemployed,45 years and over,322.1,177.2,144.9
2006,Canada,Total,Total unemployed,25-54 years,644.6,344.0,300.7
2006,Canada,Total,Total unemployed,55 years and over,125.9,73.0,52.9
2006,Canada,Total,Total unemployed,55-64 years,111.2,63.0,48.2
2006,Canada,Total,Total unemployed,65 years and over,14.7,10.0,4.7
2006,Canada,Total,Total unemployed,15-29 years,448.2,252.4,195.8
2006,Canada,Total,Total unemployed,25-64 years,755.8,407.0,348.8
2006,Canada,Total,   1 - 4 weeks,15 years and over,436.5,233.0,203.5
2006,Canada,Total,   1 - 4 weeks,15-24 years ,183.4,100.9,82.5
2006,Canada,Total,   1 - 4 weeks,25 years and over,253.1,132.1,121.0
2006,Canada,Total,   1 - 4 weeks,25-44 years,159.1,81.7,77.4
2006,Canada,Total,   1 - 4 weeks,45 years and over,94.0,50.5,43.6
2006,Canada,Total,   1 - 4 weeks,25-54 years,217.2,112.0,105.2
2006,Canada,Total,   1 - 4 weeks,55 years and over,35.9,20.1,15.8
2006,Canada,Total,   1 - 4 weeks,55-64 years,31.4,17.1,14.3
2006,Canada,Total,   1 - 4 weeks,65 years and over,4.4,3.0,0.0
2006,Canada,Total,   1 - 4 weeks,15-29 years,229.0,125.9,103.2
2006,Canada,Total,   1 - 4 weeks,25-64 years,248.7,129.1,119.5
2006,Canada,Total,   5 - 13 weeks,15 years and over,303.3,171.1,132.2
2006,Canada,Total,   5 - 13 weeks,15-24 years ,91.5,53.4,38.2
2006,Canada,Total,   5 - 13 weeks,25 years and over,211.8,117.8,94.0
2006,Canada,Total,   5 - 13 weeks,25-44 years,127.9,70.8,57.2
2006,Canada,Total,   5 - 13 weeks,45 years and over,83.9,47.0,36.9
2006,Canada,Total,   5 - 13 weeks,25-54 years,180.9,99.7,81.2
2006,Canada,Total,   5 - 13 weeks,55 years and over,30.9,18.0,12.8
2006,Canada,Total,   5 - 13 weeks,55-64 years,27.5,15.6,11.8
2006,Canada,Total,   5 - 13 weeks,65 years and over,3.4,2.4,0.0
2006,Canada,Total,   5 - 13 weeks,15-29 years,124.4,72.1,52.4
2006,Canada,Total,   5 - 13 weeks,25-64 years,208.4,115.4,93.0
2006,Canada,Total,   14 - 25 weeks,15 years and over,140.7,80.4,60.3
2006,Canada,Total,   14 - 25 weeks,15-24 years ,26.8,16.5,10.3
2006,Canada,Total,   14 - 25 weeks,25 years and over,114.0,63.9,50.0
2006,Canada,Total,   14 - 25 weeks,25-44 years,64.0,36.3,27.7
2006,Canada,Total,   14 - 25 weeks,45 years and over,50.0,27.6,22.3
2006,Canada,Total,   14 - 25 weeks,25-54 years,94.3,51.4,42.9
2006,Canada,Total,   14 - 25 weeks,55 years and over,19.7,12.5,7.2
2006,Canada,Total,   14 - 25 weeks,55-64 years,17.0,10.6,6.4
2006,Canada,Total,   14 - 25 weeks,65 years and over,2.6,1.9,0.0
2006,Canada,Total,   14 - 25 weeks,15-29 years,41.6,25.1,16.5
2006,Canada,Total,   14 - 25 weeks,25-64 years,111.3,62.0,49.3
2006,Canada,Total,   26 weeks ,15 years and over,10.1,5.2,5.0
2006,Canada,Total,   26 weeks ,15-24 years ,1.7,0.0,0.0
2006,Canada,Total,   26 weeks ,25 years and over,8.4,4.4,4.0
2006,Canada,Total,   26 weeks ,25-44 years,4.6,2.2,2.5
2006,Canada,Total,   26 weeks ,45 years and over,3.8,2.2,1.5
2006,Canada,Total,   26 weeks ,25-54 years,6.8,3.4,3.4
2006,Canada,Total,   26 weeks ,55 years and over,1.5,0.0,0.0
2006,Canada,Total,   26 weeks ,55-64 years,0.0,0.0,0.0
2006,Canada,Total,   26 weeks ,65 years and over,0.0,0.0,0.0
2006,Canada,Total,   26 weeks ,15-29 years,2.6,0.0,0.0
2006,Canada,Total,   26 weeks ,25-64 years,8.2,4.2,4.0
2006,Canada,Total,   27 weeks or more,15 years and over,157.6,87.7,69.9
2006,Canada,Total,   27 weeks or more,15-24 years ,16.5,9.2,7.4
2006,Canada,Total,   27 weeks or more,25 years and over,141.1,78.5,62.6
2006,Canada,Total,   27 weeks or more,25-44 years,70.9,38.6,32.3
2006,Canada,Total,   27 weeks or more,45 years and over,70.2,39.9,30.3
